Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-04-22 00:00:00,31.9180000000,32.3070000000,0.8960000000,408.3670000000,0.3690000000,10.8950000000,754.9370839395,50.9950000000,0.1500000000,194.2000000000
Площадка 21 414,2025-04-22 00:20:00,30.8080000000,31.6970000000,0.7690000000,401.1380000000,0.5280000000,10.1900000000,754.9445845563,53.3450000000,0.1510000000,181.1000000000
Площадка 21 414,2025-04-22 00:40:00,30.7940000000,32.3440000000,1.0460000000,410.6160000000,0.5380000000,10.0450000000,755.0120901078,54.2750000000,0.1500000000,146.5000000000
Площадка 21 414,2025-04-22 01:00:00,30.8130000000,32.0820000000,0.4170000000,420.3220000000,0.4170000000,9.9000000000,754.9370839395,55.1200000000,0.1560000000,166.8500000000
Площадка 21 414,2025-04-22 01:20:00,30.9730000000,31.9240000000,0.6850000000,413.7600000000,0.5350000000,10.0100000000,754.8695783880,55.2750000000,0.1960000000,185.1000000000
Площадка 21 414,2025-04-22 01:40:00,31.2200000000,32.6360000000,0.4510000000,419.1240000000,0.4960000000,10.0700000000,754.8695783880,55.0900000000,0.1700000000,153.9000000000
Площадка 21 414,2025-04-22 02:00:00,30.3120000000,31.6820000000,0.4410000000,416.3270000000,0.5320000000,9.8750000000,754.8620777712,56.2500000000,0.2130000000,153.3500000000
Площадка 21 414,2025-04-22 02:20:00,30.3010000000,31.5160000000,0.5810000000,420.5580000000,0.5480000000,9.7400000000,754.8245746870,57.0200000000,0.1750000000,159.8500000000
Площадка 21 414,2025-04-22 02:40:00,30.5020000000,31.7280000000,0.2760000000,427.6580000000,0.4730000000,9.8900000000,754.7945722197,57.3500000000,0.2410000000,167.9500000000
Площадка 21 414,2025-04-22 03:00:00,30.8310000000,31.5730000000,0.3080000000,427.9520000000,0.5670000000,10.4500000000,754.7945722197,56.5350000000,0.2590000000,147.3500000000
Площадка 21 414,2025-04-22 03:20:00,30.7960000000,31.4440000000,0.2200000000,428.7250000000,0.4330000000,11.6700000000,754.8620777712,54.0950000000,0.2470000000,138.3000000000
Площадка 21 414,2025-04-22 03:40:00,32.3100000000,32.1380000000,0.2900000000,428.2000000000,0.5080000000,13.1750000000,754.8845796216,50.7900000000,0.4270000000,162.9500000000
Площадка 21 414,2025-04-22 04:00:00,33.5450000000,32.8070000000,0.2670000000,422.5520000000,0.5860000000,14.4550000000,754.8770790048,47.9100000000,0.5140000000,173.3500000000
Площадка 21 414,2025-04-22 04:20:00,37.3630000000,33.7710000000,0.2850000000,415.3940000000,0.5430000000,16.5800000000,754.8920802385,42.9100000000,0.4750000000,171.0000000000
Площадка 21 414,2025-04-22 04:40:00,43.2010000000,32.0190000000,0.2810000000,414.9070000000,0.4590000000,17.8750000000,754.8695783880,38.7850000000,0.8010000000,194.0000000000
Площадка 21 414,2025-04-22 05:00:00,46.7530000000,36.0750000000,0.2470000000,419.4240000000,0.5880000000,19.7200000000,754.8095734533,33.9650000000,0.4870000000,210.6000000000
Площадка 21 414,2025-04-22 05:20:00,48.3350000000,38.3470000000,0.2840000000,446.5250000000,1.3910000000,21.6200000000,754.7420679019,30.6450000000,0.6560000000,220.9500000000
Площадка 21 414,2025-04-22 05:40:00,46.3440000000,41.8150000000,0.4410000000,418.7250000000,0.5680000000,21.8100000000,754.6970642009,30.0950000000,1.0990000000,217.1000000000
Площадка 21 414,2025-04-22 06:00:00,50.1620000000,36.7320000000,0.3080000000,409.5110000000,0.4500000000,22.2050000000,754.6895635841,29.7950000000,1.0220000000,221.9000000000
Площадка 21 414,2025-04-22 06:20:00,50.1960000000,39.8930000000,0.4730000000,402.9470000000,0.5570000000,23.9300000000,754.7120654346,27.2150000000,0.9740000000,215.1000000000
Площадка 21 414,2025-04-22 06:40:00,51.7270000000,42.1320000000,0.3780000000,399.0920000000,0.4350000000,23.9650000000,754.6670617336,26.7900000000,1.4380000000,215.0000000000
Площадка 21 414,2025-04-22 07:00:00,53.0300000000,41.0040000000,0.4530000000,397.1720000000,0.4940000000,24.8150000000,754.6295586494,25.8000000000,1.2500000000,220.2500000000
Площадка 21 414,2025-04-22 07:20:00,61.1610000000,40.7720000000,0.4450000000,411.1900000000,0.4610000000,25.3300000000,754.6145574158,24.5450000000,1.2060000000,222.1500000000
Площадка 21 414,2025-04-22 07:40:00,56.9110000000,42.7330000000,0.4540000000,399.7690000000,0.4100000000,25.7050000000,754.5920555653,23.8100000000,1.5990000000,233.9000000000
Площадка 21 414,2025-04-22 08:00:00,56.4510000000,44.0920000000,0.3730000000,401.0410000000,0.4200000000,26.7050000000,754.5620530980,23.0350000000,1.3220000000,227.3000000000
Площадка 21 414,2025-04-22 08:20:00,56.7050000000,46.6070000000,0.4050000000,402.2700000000,0.4190000000,26.6400000000,754.4870469297,22.8500000000,1.5500000000,234.8000000000
Площадка 21 414,2025-04-22 08:40:00,58.6480000000,47.5490000000,0.3360000000,401.5430000000,0.4470000000,26.6250000000,754.4345426118,22.3850000000,2.1640000000,238.1000000000
Площадка 21 414,2025-04-22 09:00:00,62.0730000000,45.4570000000,0.4260000000,401.1840000000,0.5080000000,26.5750000000,754.3445352099,22.2250000000,1.8760000000,242.5000000000
Площадка 21 414,2025-04-22 09:20:00,61.1520000000,48.4550000000,0.3850000000,404.7440000000,0.4840000000,26.3000000000,754.2245253406,22.4700000000,2.1920000000,242.5500000000
Площадка 21 414,2025-04-22 09:40:00,62.0590000000,47.6620000000,0.3180000000,416.8240000000,0.5960000000,26.4790000000,754.1795216396,22.5370000000,2.0430000000,245.6840000000
Площадка 21 414,2025-04-22 10:00:00,62.3040000000,49.4530000000,0.4210000000,407.6910000000,0.4310000000,26.3650000000,754.2545278079,22.4750000000,2.4480000000,245.4000000000
Площадка 21 414,2025-04-22 10:20:00,64.3860000000,48.2440000000,0.4390000000,429.5400000000,0.5950000000,25.7300000000,754.2470271911,23.0650000000,2.2590000000,243.4500000000
Площадка 21 414,2025-04-22 10:40:00,64.6630000000,47.8700000000,0.4070000000,428.6650000000,0.5330000000,26.1250000000,754.2320259574,22.8450000000,1.7470000000,252.1500000000
Площадка 21 414,2025-04-22 11:00:00,63.8850000000,48.7390000000,0.4460000000,415.1010000000,0.5140000000,25.8600000000,754.2395265743,23.5200000000,2.0600000000,242.5000000000
Площадка 21 414,2025-04-22 11:20:00,65.2540000000,46.9270000000,0.3750000000,418.3350000000,0.4870000000,25.5000000000,754.2545278079,24.3550000000,1.8230000000,245.5500000000
